batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
8,1,z,0.0,0.0,0.0
8,2,z,1.42,4.54,5.96
8,3,z,3.98,0.0,3.98
8,4,z,2.39,5.88,8.27
8,5,z,1.63,0.35,1.98
8,6,z,0.38,0.0,0.38
8,7,z,1.13,2.49,3.62
8,8,z,0.82,0.0,0.82
8,9,z,1.52,5.03,6.55
8,10,z,0.97,0.19,1.16
8,11,z,0.19,0.0,0.19
8,12,z,0.65,2.15,2.8
8,13,z,0.56,0.0,0.56
8,14,z,1.01,4.36,5.37
8,15,z,0.53,0.29,0.82
8,16,z,0.1,0.0,0.1
8,17,z,0.0,0.0,0.0
8,18,z,0.4,1.94,2.34
8,19,z,0.01,0.0,0.01
8,20,z,0.19,0.03,0.22
