            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
0   18-11-22_16-26-54        cpu       1     67.08           93.68         93.68        9.3684          0.00        0.0000  [[1, 1, cpu, 0.0, 0.0, 0.0], [1, 2, cpu, 2.39,...       3103728
1   18-11-22_16-26-54        cpu       2     67.08           92.00         92.00        9.1995          0.00        0.0000  [[2, 1, cpu, 0.0, 0.0, 0.0], [2, 2, cpu, 2.43,...       3107824
2   18-11-22_16-26-54        cpu       4     67.08           92.30         92.30        9.2299          0.00        0.0000  [[4, 1, cpu, 0.0, 0.0, 0.0], [4, 2, cpu, 2.45,...       3107824
3   18-11-22_16-26-54        cpu       8     67.08           92.27         92.27        9.2267          0.00        0.0000  [[8, 1, cpu, 0.0, 0.0, 0.0], [8, 2, cpu, 2.51,...       3103728
4   18-11-22_16-26-54        cpu      16     67.08           93.75         93.75        9.3750          0.00        0.0000  [[16, 1, cpu, 0.0, 0.0, 0.0], [16, 2, cpu, 2.5...       3107824
5   18-11-22_16-26-54        cpu      32     67.08           92.34         92.34        9.2341          0.00        0.0000  [[32, 1, cpu, 0.0, 0.0, 0.0], [32, 2, cpu, 2.5...       3107824
6   18-11-22_16-26-54        cpu      64     67.08           92.62         92.62        9.2620          0.00        0.0000  [[64, 1, cpu, 0.0, 0.0, 0.0], [64, 2, cpu, 2.5...       3103728
7   18-11-22_16-26-54        cpu     128     67.08           93.08         93.08        9.3075          0.00        0.0000  [[128, 1, cpu, 0.0, 0.0, 0.0], [128, 2, cpu, 2...       3103728
8   18-11-22_16-26-54          x       1     67.08          535.37         40.59        4.0587        494.78       49.4780  [[1, 1, x, 0.0, 0.0, 0.0], [1, 2, x, 2.73, 65....       2054408
9   18-11-22_16-26-54          x       2     67.08          282.78         32.86        3.2860        249.92       24.9916  [[2, 1, x, 0.0, 0.0, 0.0], [2, 2, x, 1.99, 33....       2058504
10  18-11-22_16-26-54          x       4     67.08          154.75         29.06        2.9060        125.69       12.5689  [[4, 1, x, 0.0, 0.0, 0.0], [4, 2, x, 1.79, 16....       2058504
