batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
128,1,x,0.0,0.0,0.0
128,2,x,0.97,44.09,45.06
128,3,x,3.81,0.0,3.81
128,4,x,1.89,76.67,78.56
128,5,x,4.0,0.0,4.0
128,6,x,1.21,0.04,1.25
128,7,x,0.72,35.21,35.93
128,8,x,2.2,0.0,2.2
128,9,x,0.96,74.59,75.55
128,10,x,2.13,0.0,2.13
128,11,x,0.62,0.0,0.62
128,12,x,0.38,4.63,5.01
128,13,x,1.22,0.0,1.22
128,14,x,0.5,11.48,11.98
128,15,x,0.84,0.0,0.84
128,16,x,0.32,0.0,0.32
128,17,x,0.0,0.0,0.0
128,18,x,0.1,0.16,0.26
128,19,x,0.02,0.0,0.02
128,20,x,0.02,0.0,0.02
