batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
1,1,y,0.0,0.0,0.0
1,2,y,2.73,7.0,9.73
1,3,y,3.39,0.0,3.39
1,4,y,3.65,9.66,13.31
1,5,y,3.71,0.0,3.71
1,6,y,2.66,0.12,2.78
1,7,y,2.43,15.51,17.94
1,8,y,2.37,0.0,2.37
1,9,y,2.73,30.9,33.63
1,10,y,2.36,0.0,2.36
1,11,y,2.01,0.09,2.1
1,12,y,2.18,56.67,58.85
1,13,y,1.11,0.0,1.11
1,14,y,2.59,112.98,115.57
1,15,y,0.9,0.0,0.9
1,16,y,1.67,0.13,1.8
1,17,y,0.0,0.0,0.0
1,18,y,2.51,2.0,4.51
1,19,y,0.02,0.0,0.02
1,20,y,1.48,0.07,1.55
