batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
2,1,cpu,0.0,0.0,0.0
2,2,cpu,2.43,0.0,2.43
2,3,cpu,3.33,0.0,3.33
2,4,cpu,20.26,0.0,20.26
2,5,cpu,3.6,0.0,3.6
2,6,cpu,0.01,0.0,0.01
2,7,cpu,9.52,0.0,9.52
2,8,cpu,2.3,0.0,2.3
2,9,cpu,18.79,0.0,18.79
2,10,cpu,2.02,0.0,2.02
2,11,cpu,0.0,0.0,0.0
2,12,cpu,8.53,0.0,8.53
2,13,cpu,1.23,0.0,1.23
2,14,cpu,18.09,0.0,18.09
2,15,cpu,0.87,0.0,0.87
2,16,cpu,0.0,0.0,0.0
2,17,cpu,0.0,0.0,0.0
2,18,cpu,0.84,0.0,0.84
2,19,cpu,0.02,0.0,0.02
2,20,cpu,0.0,0.0,0.0
