batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
2,1,xyz,0.0,0.0,0.0
2,2,xyz,1.99,3.96,5.95
2,3,xyz,4.08,0.0,4.08
2,4,xyz,3.58,5.06,8.64
2,5,xyz,4.14,0.0,4.14
2,6,xyz,1.98,0.04,2.02
2,7,xyz,1.65,2.92,4.57
2,8,xyz,2.16,0.0,2.16
2,9,xyz,1.89,5.02,6.91
2,10,xyz,2.15,0.0,2.15
2,11,xyz,1.33,0.03,1.36
2,12,xyz,1.31,3.6,4.91
2,13,xyz,1.12,0.0,1.12
2,14,xyz,1.56,4.91,6.47
2,15,xyz,0.84,0.0,0.84
2,16,xyz,1.01,0.06,1.07
2,17,xyz,0.0,0.0,0.0
2,18,xyz,1.29,1.0,2.29
2,19,xyz,0.02,0.0,0.02
2,20,xyz,0.74,0.03,0.77
