batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,yz,0.0,0.0,0.0
4,2,yz,1.79,3.8,5.59
4,3,yz,4.03,0.0,4.03
4,4,yz,2.96,5.03,7.99
4,5,yz,4.1,0.0,4.1
4,6,yz,1.91,0.03,1.94
4,7,yz,1.25,2.6,3.85
4,8,yz,2.14,0.0,2.14
4,9,yz,1.82,4.8,6.62
4,10,yz,2.13,0.0,2.13
4,11,yz,1.03,0.02,1.05
4,12,yz,0.88,2.46,3.34
4,13,yz,1.21,0.0,1.21
4,14,yz,1.05,4.74,5.79
4,15,yz,0.84,0.0,0.84
4,16,yz,0.68,0.02,0.7
4,17,yz,0.0,0.0,0.0
4,18,yz,0.71,1.94,2.65
4,19,yz,0.02,0.0,0.02
4,20,yz,0.38,0.04,0.42
