batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,x,0.0,0.0,0.0
4,2,x,1.4,2.5,3.9
4,3,x,12.16,0.0,12.16
4,4,x,15.64,265.95,281.59
4,5,x,16.74,0.33,17.07
4,6,x,2.46,0.0,2.46
4,7,x,7.41,38.6,46.01
4,8,x,8.35,0.0,8.35
4,9,x,10.34,79.85,90.19
4,10,x,7.5,0.34,7.84
4,11,x,2.66,0.0,2.66
4,12,x,6.23,36.79,43.02
4,13,x,6.21,0.0,6.21
4,14,x,8.58,87.96,96.54
4,15,x,4.92,0.37,5.29
4,16,x,1.84,0.0,1.84
4,17,x,0.0,0.0,0.0
4,18,x,5.27,1.89,7.16
4,19,x,0.09,0.0,0.09
4,20,x,1.86,0.24,2.1
