batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,xy,0.0,0.0,0.0
4,2,xy,11.06,63.69,74.75
4,3,xy,14.8,0.0,14.8
4,4,xy,14.73,85.15,99.88
4,5,xy,11.87,0.29,12.16
4,6,xy,3.31,0.0,3.31
4,7,xy,7.67,40.8,48.47
4,8,xy,9.08,0.0,9.08
4,9,xy,10.89,81.06,91.95
4,10,xy,7.78,0.26,8.04
4,11,xy,2.54,0.0,2.54
4,12,xy,6.92,36.66,43.58
4,13,xy,5.09,0.0,5.09
4,14,xy,8.17,82.11,90.28
4,15,xy,5.81,0.25,6.06
4,16,xy,1.55,0.0,1.55
4,17,xy,0.0,0.0,0.0
4,18,xy,5.86,1.86,7.72
4,19,xy,0.07,0.0,0.07
4,20,xy,3.13,0.2,3.33
