batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,xyz,0.0,0.0,0.0
4,2,xyz,12.02,52.19,64.21
4,3,xyz,16.28,0.0,16.28
4,4,xyz,15.76,65.64,81.4
4,5,xyz,13.11,0.27,13.38
4,6,xyz,3.37,0.0,3.37
4,7,xyz,8.25,30.65,38.9
4,8,xyz,9.35,0.0,9.35
4,9,xyz,11.52,57.96,69.48
4,10,xyz,8.91,0.2,9.11
4,11,xyz,2.74,0.0,2.74
4,12,xyz,7.87,26.92,34.79
4,13,xyz,6.27,0.0,6.27
4,14,xyz,9.14,53.15,62.29
4,15,xyz,6.68,0.18,6.86
4,16,xyz,1.69,0.0,1.69
4,17,xyz,0.0,0.0,0.0
4,18,xyz,6.35,1.82,8.17
4,19,xyz,0.08,0.0,0.08
4,20,xyz,3.77,0.22,3.99
