batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
16,1,automatic,0.0,0.0,0.0
16,2,automatic,23.16,0.0,23.16
16,3,automatic,5.52,0.0,5.52
16,4,automatic,10.32,66.57,76.89
16,5,automatic,7.92,0.0,7.92
16,6,automatic,0.06,0.0,0.06
16,7,automatic,4.8,29.56,34.36
16,8,automatic,5.65,0.0,5.65
16,9,automatic,6.28,58.32,64.6
16,10,automatic,6.39,0.0,6.39
16,11,automatic,0.04,0.0,0.04
16,12,automatic,3.22,23.57,26.79
16,13,automatic,4.26,0.0,4.26
16,14,automatic,4.29,48.83,53.12
16,15,automatic,4.47,0.0,4.47
16,16,automatic,0.03,0.0,0.03
16,17,automatic,0.0,0.0,0.0
16,18,automatic,1.49,1.86,3.35
16,19,automatic,0.05,0.0,0.05
16,20,automatic,0.01,0.0,0.01
