batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
8,1,cpu,0.0,0.0,0.0
8,2,cpu,20.63,0.0,20.63
8,3,cpu,5.49,0.0,5.49
8,4,cpu,116.62,0.0,116.62
8,5,cpu,5.49,0.0,5.49
8,6,cpu,0.07,0.0,0.07
8,7,cpu,61.7,0.0,61.7
8,8,cpu,2.47,0.0,2.47
8,9,cpu,118.45,0.0,118.45
8,10,cpu,2.75,0.0,2.75
8,11,cpu,0.04,0.0,0.04
8,12,cpu,47.85,0.0,47.85
8,13,cpu,1.44,0.0,1.44
8,14,cpu,85.11,0.0,85.11
8,15,cpu,1.47,0.0,1.47
8,16,cpu,0.01,0.0,0.01
8,17,cpu,0.0,0.0,0.0
8,18,cpu,4.76,0.0,4.76
8,19,cpu,0.02,0.0,0.02
8,20,cpu,0.01,0.0,0.01
