batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
16,1,xz,0.0,0.0,0.0
16,2,xz,7.76,126.29,134.05
16,3,xz,7.68,0.0,7.68
16,4,xz,10.16,185.82,195.98
16,5,xz,7.55,0.0,7.55
16,6,xz,3.94,0.32,4.26
16,7,xz,5.58,60.86,66.44
16,8,xz,6.06,0.0,6.06
16,9,xz,6.33,174.53,180.86
16,10,xz,6.28,0.0,6.28
16,11,xz,2.38,0.12,2.5
16,12,xz,2.99,23.57,26.56
16,13,xz,4.06,0.0,4.06
16,14,xz,4.33,48.81,53.14
16,15,xz,4.65,0.0,4.65
16,16,xz,1.98,0.16,2.14
16,17,xz,0.0,0.0,0.0
16,18,xz,1.2,1.86,3.06
16,19,xz,0.04,0.0,0.04
16,20,xz,0.69,0.04,0.73
