batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
2,1,y,0.0,0.0,0.0
2,2,y,12.58,62.45,75.03
2,3,y,21.63,0.0,21.63
2,4,y,22.09,82.86,104.95
2,5,y,24.57,0.0,24.57
2,6,y,10.97,0.51,11.48
2,7,y,11.43,37.77,49.2
2,8,y,9.5,0.0,9.5
2,9,y,14.43,75.4,89.83
2,10,y,12.57,0.0,12.57
2,11,y,10.57,0.6,11.17
2,12,y,11.63,74.05,85.68
2,13,y,6.81,0.0,6.81
2,14,y,15.05,149.87,164.92
2,15,y,7.27,0.0,7.27
2,16,y,10.91,0.73,11.64
2,17,y,0.0,0.0,0.0
2,18,y,10.92,3.74,14.66
2,19,y,0.07,0.0,0.07
2,20,y,6.47,0.45,6.92
