batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,yz,0.0,0.0,0.0
4,2,yz,12.69,58.79,71.48
4,3,yz,16.01,0.0,16.01
4,4,yz,16.19,74.6,90.79
4,5,yz,17.05,0.0,17.05
4,6,yz,7.33,0.34,7.67
4,7,yz,7.72,30.13,37.85
4,8,yz,8.34,0.0,8.34
4,9,yz,11.29,57.38,68.67
4,10,yz,9.1,0.0,9.1
4,11,yz,5.84,0.15,5.99
4,12,yz,6.85,26.75,33.6
4,13,yz,4.81,0.0,4.81
4,14,yz,8.68,54.27,62.95
4,15,yz,6.39,0.0,6.39
4,16,yz,5.99,0.12,6.11
4,17,yz,0.0,0.0,0.0
4,18,yz,6.54,3.4,9.94
4,19,yz,0.07,0.0,0.07
4,20,yz,4.13,0.21,4.34
