batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
1,1,z,0.0,0.0,0.0
1,2,z,14.13,50.62,64.75
1,3,z,9.84,0.0,9.84
1,4,z,19.34,65.55,84.89
1,5,z,12.35,0.0,12.35
1,6,z,14.79,0.8,15.59
1,7,z,14.58,30.81,45.39
1,8,z,5.72,0.0,5.72
1,9,z,16.7,60.37,77.07
1,10,z,6.51,0.0,6.51
1,11,z,13.12,0.81,13.93
1,12,z,14.17,25.91,40.08
1,13,z,3.09,0.0,3.09
1,14,z,16.79,53.45,70.24
1,15,z,3.29,0.0,3.29
1,16,z,11.5,0.81,12.31
1,17,z,0.0,0.0,0.0
1,18,z,15.13,4.02,19.15
1,19,z,0.05,0.0,0.05
1,20,z,9.82,0.64,10.46
