            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
0   24-11-22_10-59-03        cpu       1     77.24           11.20         11.20        1.1204          0.00        0.0000  [[1, 1, cpu, 0.0, 0.0, 0.0], [1, 2, cpu, 2.48,...        914912
1   24-11-22_10-59-03        cpu       2     77.24           11.53         11.53        1.1531          0.00        0.0000  [[2, 1, cpu, 0.0, 0.0, 0.0], [2, 2, cpu, 2.5, ...        914912
2   24-11-22_10-59-03        cpu       4     77.24           11.55         11.55        1.1551          0.00        0.0000  [[4, 1, cpu, 0.0, 0.0, 0.0], [4, 2, cpu, 2.49,...        914912
3   24-11-22_10-59-03        cpu       8     77.24           11.69         11.69        1.1693          0.00        0.0000  [[8, 1, cpu, 0.0, 0.0, 0.0], [8, 2, cpu, 2.51,...        914912
4   24-11-22_10-59-03        cpu      16     77.24           11.59         11.59        1.1588          0.00        0.0000  [[16, 1, cpu, 0.0, 0.0, 0.0], [16, 2, cpu, 2.4...        914912
5   24-11-22_10-59-03        cpu      32     77.24           11.53         11.53        1.1525          0.00        0.0000  [[32, 1, cpu, 0.0, 0.0, 0.0], [32, 2, cpu, 2.5...        914912
6   24-11-22_10-59-03        cpu      64     77.24           11.57         11.57        1.1572          0.00        0.0000  [[64, 1, cpu, 0.0, 0.0, 0.0], [64, 2, cpu, 2.5...        914912
7   24-11-22_10-59-03        cpu     128     77.24           11.86         11.86        1.1863          0.00        0.0000  [[128, 1, cpu, 0.0, 0.0, 0.0], [128, 2, cpu, 2...        914912
8   24-11-22_10-59-03          x       1     77.24          139.74         56.56        5.6557         83.18        8.3181  [[1, 1, x, 0.0, 0.0, 0.0], [1, 2, x, 10.26, 53...        920920
9   24-11-22_10-59-03          x       2     77.24           86.97         37.07        3.7074         49.90        4.9896  [[2, 1, x, 0.0, 0.0, 0.0], [2, 2, x, 6.72, 32....        925040
10  24-11-22_10-59-03          x       4     77.24           54.80         23.01        2.3011         31.79        3.1792  [[4, 1, x, 0.0, 0.0, 0.0], [4, 2, x, 4.04, 21....        925040
11  24-11-22_10-59-03          x       8     77.24           37.17         15.87        1.5868         21.30        2.1298  [[8, 1, x, 0.0, 0.0, 0.0], [8, 2, x, 2.54, 14....        929240
12  24-11-22_10-59-03          x      16     77.24           27.73         12.23        1.2233         15.50        1.5499  [[16, 1, x, 0.0, 0.0, 0.0], [16, 2, x, 2.33, 1...        925040
13  24-11-22_10-59-03          x      32     77.24           27.21         10.36        1.0359         16.85        1.6850  [[32, 1, x, 0.0, 0.0, 0.0], [32, 2, x, 2.28, 1...        925040
14  24-11-22_10-59-03          x      64     77.24           25.67          8.70        0.8695         16.97        1.6966  [[64, 1, x, 0.0, 0.0, 0.0], [64, 2, x, 2.13, 1...        929232
15  24-11-22_10-59-03          x     128     77.24           25.62          7.94        0.7937         17.68        1.7679  [[128, 1, x, 0.0, 0.0, 0.0], [128, 2, x, 1.96,...        933432
16  24-11-22_10-59-03          y       1     77.24          125.15         59.35        5.9352         65.80        6.5797  [[1, 1, y, 0.0, 0.0, 0.0], [1, 2, y, 10.6, 42....        920920
17  24-11-22_10-59-03          y       2     77.24           81.07         34.89        3.4888         46.18        4.6182  [[2, 1, y, 0.0, 0.0, 0.0], [2, 2, y, 6.35, 29....        929136
18  24-11-22_10-59-03          y       4     77.24           49.85         21.40        2.1397         28.45        2.8447  [[4, 1, y, 0.0, 0.0, 0.0], [4, 2, y, 3.78, 18....        929136
19  24-11-22_10-59-03          y       8     77.24           40.99         17.20        1.7199         23.79        2.3788  [[8, 1, y, 0.0, 0.0, 0.0], [8, 2, y, 2.71, 15....        937432
20  24-11-22_10-59-03          y      16     77.24           25.25         11.39        1.1387         13.86        1.3861  [[16, 1, y, 0.0, 0.0, 0.0], [16, 2, y, 2.29, 9...        933232
21  24-11-22_10-59-03          y      32     77.24           23.08          9.62        0.9617         13.46        1.3457  [[32, 1, y, 0.0, 0.0, 0.0], [32, 2, y, 2.04, 8...        933232
22  24-11-22_10-59-03          y      64     77.24           21.53          8.14        0.8141         13.39        1.3387  [[64, 1, y, 0.0, 0.0, 0.0], [64, 2, y, 1.87, 8...        937424
23  24-11-22_10-59-03          y     128     77.24           21.36          7.84        0.7841         13.52        1.3517  [[128, 1, y, 0.0, 0.0, 0.0], [128, 2, y, 1.82,...        941624
24  24-11-22_10-59-03          z       1     77.24          125.28         60.16        6.0164         65.12        6.5124  [[1, 1, z, 0.0, 0.0, 0.0], [1, 2, z, 10.68, 43...        916824
25  24-11-22_10-59-03          z       2     77.24           74.33         33.45        3.3449         40.88        4.0882  [[2, 1, z, 0.0, 0.0, 0.0], [2, 2, z, 6.26, 27....        920944
26  24-11-22_10-59-03          z       4     77.24           52.61         22.38        2.2383         30.23        3.0230  [[4, 1, z, 0.0, 0.0, 0.0], [4, 2, z, 3.87, 20....        920944
27  24-11-22_10-59-03          z       8     77.24           41.24         17.85        1.7852         23.39        2.3394  [[8, 1, z, 0.0, 0.0, 0.0], [8, 2, z, 2.94, 17....        929240
28  24-11-22_10-59-03          z      16     77.24           47.37         15.23        1.5233         32.14        3.2145  [[16, 1, z, 0.0, 0.0, 0.0], [16, 2, z, 3.3, 28...        925040
29  24-11-22_10-59-03          z      32     77.24           56.46         11.83        1.1826         44.63        4.4634  [[32, 1, z, 0.0, 0.0, 0.0], [32, 2, z, 3.07, 3...        929136
30  24-11-22_10-59-03          z      64     77.24           65.71          9.39        0.9390         56.32        5.6323  [[64, 1, z, 0.0, 0.0, 0.0], [64, 2, z, 2.46, 4...        933328
31  24-11-22_10-59-03          z     128     77.24           74.70          8.29        0.8289         66.41        6.6408  [[128, 1, z, 0.0, 0.0, 0.0], [128, 2, z, 1.9, ...        937528
32  24-11-22_10-59-03         xy       1     77.24          129.04         60.53        6.0528         68.51        6.8513  [[1, 1, xy, 0.0, 0.0, 0.0], [1, 2, xy, 10.72, ...        920920
33  24-11-22_10-59-03         xy       2     77.24           85.93         36.58        3.6579         49.35        4.9349  [[2, 1, xy, 0.0, 0.0, 0.0], [2, 2, xy, 6.65, 3...        925040
34  24-11-22_10-59-03         xy       4     77.24           49.62         22.03        2.2032         27.59        2.7589  [[4, 1, xy, 0.0, 0.0, 0.0], [4, 2, xy, 4.19, 1...        925040
35  24-11-22_10-59-03         xy       8     77.24           41.94         18.07        1.8067         23.87        2.3869  [[8, 1, xy, 0.0, 0.0, 0.0], [8, 2, xy, 3.02, 1...        929240
36  24-11-22_10-59-03         xy      16     77.24           25.48         11.70        1.1704         13.78        1.3777  [[16, 1, xy, 0.0, 0.0, 0.0], [16, 2, xy, 2.26,...        925040
37  24-11-22_10-59-03         xy      32     77.24           22.39          9.35        0.9351         13.04        1.3039  [[32, 1, xy, 0.0, 0.0, 0.0], [32, 2, xy, 1.94,...        925040
38  24-11-22_10-59-03         xy      64     77.24           22.10          8.47        0.8468         13.63        1.3630  [[64, 1, xy, 0.0, 0.0, 0.0], [64, 2, xy, 2.04,...        929232
39  24-11-22_10-59-03         xy     128     77.24           22.31          7.97        0.7972         14.34        1.4343  [[128, 1, xy, 0.0, 0.0, 0.0], [128, 2, xy, 2.0...        933432
40  24-11-22_10-59-03         xz       1     77.24          120.49         59.16        5.9156         61.33        6.1334  [[1, 1, xz, 0.0, 0.0, 0.0], [1, 2, xz, 10.46, ...        916824
41  24-11-22_10-59-03         xz       2     77.24           76.18         34.91        3.4915         41.27        4.1273  [[2, 1, xz, 0.0, 0.0, 0.0], [2, 2, xz, 6.46, 2...        916848
42  24-11-22_10-59-03         xz       4     77.24           51.41         22.08        2.2082         29.33        2.9330  [[4, 1, xz, 0.0, 0.0, 0.0], [4, 2, xz, 3.87, 2...        916848
43  24-11-22_10-59-03         xz       8     77.24           35.97         15.43        1.5428         20.54        2.0541  [[8, 1, xz, 0.0, 0.0, 0.0], [8, 2, xz, 2.51, 1...        921048
44  24-11-22_10-59-03         xz      16     77.24           24.79         11.14        1.1136         13.65        1.3651  [[16, 1, xz, 0.0, 0.0, 0.0], [16, 2, xz, 2.25,...        916848
45  24-11-22_10-59-03         xz      32     77.24           22.61          9.19        0.9191         13.42        1.3422  [[32, 1, xz, 0.0, 0.0, 0.0], [32, 2, xz, 1.87,...        916848
46  24-11-22_10-59-03         xz      64     77.24           21.41          8.24        0.8245         13.17        1.3174  [[64, 1, xz, 0.0, 0.0, 0.0], [64, 2, xz, 1.96,...        921040
47  24-11-22_10-59-03         xz     128     77.24           21.75          7.72        0.7722         14.03        1.4033  [[128, 1, xz, 0.0, 0.0, 0.0], [128, 2, xz, 1.8...        925240
48  24-11-22_10-59-03         yz       1     77.24          131.06         61.29        6.1287         69.77        6.9772  [[1, 1, yz, 0.0, 0.0, 0.0], [1, 2, yz, 10.9, 4...        916824
49  24-11-22_10-59-03         yz       2     77.24           90.86         38.16        3.8156         52.70        5.2700  [[2, 1, yz, 0.0, 0.0, 0.0], [2, 2, yz, 6.85, 3...        920944
50  24-11-22_10-59-03         yz       4     77.24           54.92         23.31        2.3310         31.61        3.1607  [[4, 1, yz, 0.0, 0.0, 0.0], [4, 2, yz, 4.13, 2...        920944
51  24-11-22_10-59-03         yz       8     77.24           43.61         17.85        1.7851         25.76        2.5762  [[8, 1, yz, 0.0, 0.0, 0.0], [8, 2, yz, 3.16, 2...        929240
52  24-11-22_10-59-03         yz      16     77.24           57.90         16.23        1.6227         41.67        4.1667  [[16, 1, yz, 0.0, 0.0, 0.0], [16, 2, yz, 3.74,...        925040
53  24-11-22_10-59-03         yz      32     77.24           66.02         11.76        1.1758         54.26        5.4258  [[32, 1, yz, 0.0, 0.0, 0.0], [32, 2, yz, 2.98,...        929136
54  24-11-22_10-59-03         yz      64     77.24           73.02          9.35        0.9349         63.67        6.3674  [[64, 1, yz, 0.0, 0.0, 0.0], [64, 2, yz, 2.41,...        933328
55  24-11-22_10-59-03         yz     128     77.24           85.50          8.23        0.8230         77.27        7.7274  [[128, 1, yz, 0.0, 0.0, 0.0], [128, 2, yz, 1.8...        937528
56  24-11-22_10-59-03        xyz       1     77.24          128.45         60.78        6.0777         67.67        6.7669  [[1, 1, xyz, 0.0, 0.0, 0.0], [1, 2, xyz, 10.71...        916824
57  24-11-22_10-59-03        xyz       2     77.24           80.86         36.78        3.6779         44.08        4.4077  [[2, 1, xyz, 0.0, 0.0, 0.0], [2, 2, xyz, 6.91,...        916848
